,Unnamed: 0,data,job_scaling,data_scaling,transfer_size_worst,transfer_time_worst,transfer_size_opt,transfer_time_opt,transfer_size_improvement,transfer_time_improvement
124,124,data/1w_10-05-2019,8,512,3524027268001280,91467033.54647012,3431753293353472,86426493.42002884,2.618423968669884,5.510772494748529
125,125,data/1w_10-05-2019,9,32,240763874143776,6612436.422213263,233855534059584,6086827.746246201,2.8693424662483102,7.948789862105537
126,126,data/1w_10-05-2019,9,64,479403583423232,12883356.265379822,466092379830528,11877811.571823725,2.776617458228815,7.804990196989258
127,127,data/1w_10-05-2019,9,128,954545594878464,25381173.980289146,928287061197696,23446703.318759825,2.750893600227795,7.6216752740894425
128,128,data/1w_10-05-2019,9,256,1945529205584640,50610052.45566621,1888879663670016,47621032.45412079,2.91178059686853,5.905980840789998
129,129,data/1w_10-05-2019,9,512,3863124697177088,101908325.03326942,3742879899197440,94295565.55621594,3.112630510413366,7.470203709626455
130,130,data/1w_10-05-2019,10,32,259886603839360,7280661.187377166,250216125648672,6533658.144705088,3.721037578630053,10.260098958693387
131,131,data/1w_10-05-2019,10,64,536942763414912,14668604.132609306,519868042028544,13283169.456552384,3.1799891068042654,9.444897848030447
132,132,data/1w_10-05-2019,10,128,1045551150584064,28293289.574884545,1015844855027072,25627253.01303729,2.841209207258537,9.422858217991903
133,133,data/1w_10-05-2019,10,256,2152619052819200,57344366.8952261,2082200253269760,52538258.8898307,3.271308012312503,8.381133606683004
134,134,data/1w_10-05-2019,10,512,4208080788530176,110121566.63790384,4064177414345728,102927975.42958768,3.4196913371216775,6.532409071122067
135,135,data/1w_17-05-2019,2,32,53922981638912,1313484.0022722115,53577884728576,1401936.6270498168,0.6399811357741586,-6.73419886535276
136,136,data/1w_17-05-2019,2,64,110456607037632,2310180.538107841,109457427676288,2841357.9461425794,0.904589945446708,-22.992895978155925
137,137,data/1w_17-05-2019,2,128,212035103091200,4554017.977528183,210208165002880,5410688.856731777,0.8616205815384267,-18.81131966168864
138,138,data/1w_17-05-2019,2,256,434944609874944,8945651.174101684,431077756767744,11022385.31917154,0.8890449540946844,-23.215013693828723
139,139,data/1w_17-05-2019,2,512,867607556661760,18670025.278580207,855279154304512,22424206.71849644,1.4209653042538302,-20.108068328238105
140,140,data/1w_17-05-2019,3,32,77044091201248,1806721.6764883846,75810771682176,1988741.129559434,1.6007970239410418,-10.074570723301974
141,141,data/1w_17-05-2019,3,64,152545720811456,3213408.9932834627,150343655153728,3895943.9356781724,1.4435446933642386,-21.240213860772677
142,142,data/1w_17-05-2019,3,128,296540210572160,6355966.5239877375,292578479667456,7518512.045568565,1.3359843837232164,-18.290617441003224
143,143,data/1w_17-05-2019,3,256,610082181766656,12281959.861790216,601850027914240,15314776.735283408,1.3493516280999387,-24.693264817844227
144,144,data/1w_17-05-2019,3,512,1207917794077184,24534186.451735586,1191715409054720,30532516.29081009,1.3413483187274493,-24.448863836893896
145,145,data/1w_17-05-2019,4,32,97323546221376,2173301.742623969,95640539939360,2504697.5378190842,1.7292899276273463,-15.248494431104607
146,146,data/1w_17-05-2019,4,64,201169191195520,4206017.702525266,196076039422720,5118652.867986394,2.5317752398029345,-21.69831964599643
147,147,data/1w_17-05-2019,4,128,384790975779072,7970799.535660669,379832977261568,9812463.374943703,1.288491370533242,-23.1051330678132
148,148,data/1w_17-05-2019,4,256,807255818350848,15943003.78405816,789848079024128,20378799.416807227,2.1564092733679474,-27.82283497407521
149,149,data/1w_17-05-2019,4,512,1643762768788480,33635685.97689526,1618403392158720,40972820.04460898,1.5427637802291199,-21.813540751788697
150,150,data/1w_17-05-2019,5,32,118134735599872,2594967.958586453,116044523198112,3079279.8495616326,1.769346154749649,-18.663501773601745
151,151,data/1w_17-05-2019,5,64,242877536028992,5075864.600854233,237276896723968,6130503.22597451,2.305951961055574,-20.77751689717628
152,152,data/1w_17-05-2019,5,128,491381304150400,10627215.335946774,483310227003136,12388370.081876105,1.6425283337181338,-16.57211875600364
